,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
53,9.000МКД,"3,5",90 m²,Друго,Приземје,Во куќа,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Југоисток,NaN
54,500€,3,60 m²,Друго,2 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Гаража,Исток,NaN
55,450€,2,50 m²,Струја,1 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Североисток,Centar
56,320€,3,65 m²,Централно,1 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Исток,NaN
57,360€,2,47 m²,Централно,8 кат  ,Во Зграда,Нов,Луксузен,Да,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Исток,NaN
58,270€,2,40 m²,Струја,3 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Гаража,Исток,NaN
59,500€,3,65 m²,Централно,3 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,Гаража + 1 Паркинг,Исток,NaN
60,260€,2,50 m²,Централно,9 кат  ,Во Зграда,Реновиран,Наместен,Да,1965,2015,Нема,1,Не,1 Паркинг,Исток,Центар
61,300€,2,52 m²,Централно,3 кат  ,Во Зграда,Нов,Наместен,Да,2021,NaN,1 Балкон,1,Не,1 Паркинг,Југоисток,Аеродром
62,1.000МКД,"1,5",30 m²,Централно,1 кат  ,Во Зграда,Нов,Наместен,Да,2021,NaN,1 Тераса,1,Не,1 Паркинг,Југ,Методија Шаторов-Шарло
63,270€,"2,5",46 m²,Струја,1 кат  ,Во Зграда,Нов,Наместен,Не,NaN,NaN,1 Балкон,1,Да,Нема,Северозапад,NaN
64,180МКД,3,92 m²,Централно,2 кат  ,Во куќа,Реновиран,Наместен,Не,2001,2018,1 Балкон,1,Не,1 Паркинг,Југозапад,Тодор Чангов 20 бр 41
65,450€,"2,5",64 m²,Струја,4 кат  ,Во Зграда,Нов,Наместен,Да,2022,2022,1 Балкон,1,Да,1 Паркинг,Исток,Xhon Kenedi
66,270€,3,64 m²,Друго,4 кат  ,Во Зграда,Реновиран,Наместен,Не,NaN,NaN,2 Балкони,1,Да,Повеќе од 3 паркинг места,Југоисток,BUL. Vidoe Smilevski Bato 3
67,200€,"2,5",35 m²,Централно,Приземје,Во Зграда,Реновиран,Наместен,Не,NaN,NaN,Нема,1,Не,Повеќе од 3 паркинг места,Југоисток,NaN
68,10.000МКД,2,42 m²,Струја,1 кат  ,Во Зграда,Нов,Наместен,Не,2019,NaN,1 Балкон,1,Не,1 Паркинг,Исток,NaN
69,1€,"2,5",38 m²,Централно,2 кат  ,Во Зграда,Реновиран,Наместен,Да,2010,2022,1 Балкон,1,Не,1 Паркинг,Југ,Емил Зола
70,1€,3,65 m²,Централно,2 кат  ,Во Зграда,Реновиран,Луксузен,Да,NaN,NaN,1 Балкон,2,Да,Нема,Исток,ул.Македонија 
71,5€,"3,5",70 m²,Струја,3 кат  ,Во Зграда,Нов,Наместен,Да,2020,2020,1 Тераса,1,Да,1 Паркинг,Исток,Vodno
72,300€,2,58 m²,Централно,2 кат  ,Во Зграда,Реновиран,Наместен,Да,NaN,NaN,1 Балкон,1,Да,1 Паркинг,Север,XHON KENEDI 25/6
73,400€,2,52 m²,Струја,1 кат  ,Во Зграда,Нов,Наместен,Да,2020,NaN,Нема,1,Не,1 Паркинг,Север,"Soboren Hram, Centar"
74,270€,"2,5",60 m²,Централно,3 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Исток,"Аеродром, Скопје"
75,250€,2,56 m²,Централно,2 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Тераса,1,Не,1 Паркинг,Исток,"Аеродром, Скопје"
76,330€,3,67 m²,Централно,3 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,2,Не,1 Паркинг,Исток,"Карпош, Скопје"
77,250€,2,48 m²,Струја,Приземје,Во Зграда,Нов,Наместен,Не,NaN,NaN,Нема,1,Не,1 Паркинг,Исток,"Карпош, Скопје"
78,220€,2,40 m²,Струја,5 кат  ,Во Зграда,Реновиран,Полу наместен,Да,NaN,2021,1 Балкон,1,Не,Нема,Запад,NaN
79,1€,3,58 m²,Централно,3 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Тераса,1,Не,1 Гаража,Исток,NaN
80,300€,2,40 m²,Централно,3 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Исток,"Аеродром, Скопје"
81,230€,2,43 m²,Струја,9 кат  ,Во Зграда,Нов,Празен,Да,2023,NaN,1 Балкон,1,Не,Нема,Исток,NaN
82,400€,2,53 m²,Централно,>15 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Југоисток,"Aerodrom, Dzevahir C"
83,200€,1,30 m²,Централно,3 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Исток,"Аеродром, Скопје"
84,320€,2,43 m²,Централно,3 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Да,1 Гаража,Исток,"Аеродром, Скопје"
85,450€,"1,5",40 m²,Централно,11 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Исток,"Кисела Вода, Скопје"
86,350€,1,62 m²,Струја,8 кат  ,Во Зграда,Нов,Наместен,Да,2022,NaN,1 Балкон,1,Не,1 Гаража,Исток,Ul.Hristo Smrnenski br23 st br 32
87,120.000€,4,101 m²,Централно,3 кат  ,Во Зграда,Стар,Полу наместен,Да,NaN,NaN,1 Балкон,1,Да,2 Паркинг места,Југоисток,Bitpazar
88,1€,3,70 m²,Централно,1 кат  ,Во Зграда,Во градба,Празен,Да,2023,NaN,1 Балкон,2,Не,1 Паркинг,Југ,Дане Крапчев 8
89,1€,2,102 m²,Централно,4 кат  ,Во Зграда,Нов,Наместен,Да,2017,NaN,2 Балкони,2,Не,2 Паркинг места,Југозапад,Автокоманда
90,1€,3,62 m²,Струја,1 кат  ,Во Зграда,Нов,Празен,Да,2023,NaN,1 Балкон,1,Не,1 Паркинг,Југ,Кисела Вода
91,1€,3,60 m²,Централно,Приземје,Во Зграда,Реновиран,Празен,Да,1998,2023,1 Балкон,2,Да,Нема,Северозапад,Аеродром
92,1.000€,"3,5",75 m²,Централно,2 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Исток,"Центар, Скопје"
93,500€,3,76 m²,Централно,4 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,2,Да,1 Гаража,Исток,"Центар, Скопје"
94,150€,1,42 m²,Нема ,Поткровје,Во Зграда,Стар,Полу наместен,Да,NaN,NaN,Нема,1,Не,Нема,Северозапад,јордан мијалков 2
95,600€,4,85 m²,Струја,5 кат  ,Во Зграда,Нов,Празен,Да,NaN,NaN,1 Балкон,2,Не,1 Паркинг,Исток,NaN
96,250€,2,60 m²,Централно,Приземје,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Да,1 Паркинг,Исток,"Аеродром, Скопје"
97,250€,"2,5",42 m²,Струја,11 кат  ,Во Зграда,Реновиран,Наместен,Да,1980,2020,1 Балкон,1,Не,1 Паркинг,Југозапад,Ул . Владимир Комаров бр 13
98,250€,"2,5",57 m²,Струја,4 кат  ,Во Зграда,Реновиран,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Исток,NaN
99,300€,2,59 m²,Струја,4 кат  ,Во Зграда,Реновиран,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Исток,NaN
100,350€,"3,5",70 m²,Централно,10 кат  ,Во Зграда,Реновиран,Наместен,Да,NaN,NaN,1 Балкон,1,Не,Нема,Исток,NaN
101,260€,2,57 m²,Централно,3 кат  ,Во Зграда,Реновиран,Наместен,Да,NaN,NaN,Нема,1,Не,Нема,Исток,NaN
102,250€,3,85 m²,Централно,Приземје,Во Зграда,Реновиран,Празен,Не,NaN,NaN,1 Балкон,2,Не,1 Паркинг,Исток,NaN
103,250€,2,48 m²,Централно,5 кат  ,Во Зграда,Реновиран,Наместен,Да,NaN,NaN,1 Балкон,1,Не,Нема,Исток,NaN
104,250€,2,55 m²,Друго,3 кат  ,Во Зграда,Реновиран,Наместен,Да,NaN,NaN,1 Балкон,1,Не,Нема,Исток,NaN
105,350€,2,47 m²,Струја,2 кат  ,Во Зграда,Реновиран,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Исток,NaN
106,330€,2,52 m²,Струја,2 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,Нема,Исток,NaN
107,1€,3,82 m²,Централно,4 кат  ,Во Зграда,Реновиран,Празен,Да,NaN,NaN,2 Балкони,2,Не,Нема,Југозапад,NaN
108,300€,3,67 m²,Централно,4 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,Нема,Исток,NaN
109,450€,4,97 m²,Централно,9 кат  ,Во Зграда,Реновиран,Наместен,Да,NaN,NaN,Тераса + 1 Балкон,2,Не,1 Паркинг,Југ,NaN
110,270€,"3,5",60 m²,Струја,3 кат  ,Во Зграда,Реновиран,Наместен,Не,NaN,NaN,1 Балкон,1,Не,3 Паркинг места,Исток,NaN
111,250€,2,45 m²,Централно,5 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Југ,AERODROM POLIKLINIKA
112,440€,2,56 m²,Централно,5 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,Нема,Исток,NaN
113,250€,2,52 m²,Централно,4 кат  ,Во Зграда,Реновиран,Празен,Да,NaN,NaN,1 Балкон,1,Не,Нема,Исток,NaN
114,300€,2,40 m²,Централно,2 кат  ,Во Зграда,Реновиран,Наместен,Да,NaN,NaN,1 Балкон,1,Не,Нема,Исток,NaN
115,430€,2,50 m²,Струја,3 кат  ,Во Зграда,Реновиран,Наместен,Да,NaN,NaN,Нема,1,Не,Нема,Исток,NaN
116,200€,1,31 m²,Струја,1 кат  ,Во Зграда,Реновиран,Наместен,Да,NaN,NaN,Нема,1,Не,Нема,Исток,NaN
117,160€,"2,5",52 m²,Струја,4 кат  ,Во Зграда,Стар,Наместен,Не,1994,NaN,1 Балкон,1,Да,1 Паркинг,Југ,NaN
118,200€,3,65 m²,Централно,5 кат  ,Во Зграда,Стар,Наместен,Да,1994,NaN,1 Балкон,1,Не,1 Паркинг,Југ,NaN
119,1€,"2,5",40 m²,Струја,1 кат  ,Во куќа,Реновиран,Наместен,Не,1980,2018,Нема,1,Не,Нема,Североисток,nevrokopska 
120,240€,3,85 m²,Централно,Приземје,Во Зграда,Стар,Празен,Да,2000,NaN,1 Балкон,1,Не,1 Паркинг,Југ,NaN
121,250€,2,57 m²,Централно,2 кат  ,Во Зграда,Нов,Наместен,Да,2018,NaN,1 Балкон,1,Не,1 Паркинг,Југ,NaN
122,350€,3,70 m²,Централно,1 кат  ,Во Зграда,Нов,Наместен,Не,NaN,NaN,1 Тераса,1,Не,1 Паркинг,Север,ул. Мајаковски
123,30€,2,46 m²,Централно,4 кат  ,Во Зграда,Нов,Наместен,Да,2020,2020,Нема,1,Не,1 Паркинг,Југозапад,ruzveltova 30
124,300€,3,60 m²,Струја,5 кат  ,Во Зграда,Нов,Наместен,Не,NaN,2022,1 Балкон,1,Да,Повеќе од 3 паркинг места,Север,Стево Филиповиќ (Хром)
125,NaN,5,120 m²,Струја,1 кат  ,Во куќа,Реновиран,Луксузен,Не,NaN,2022,1 Балкон,2,Да,3 Паркинг места,Југ,Дебарца 58
126,370€,2,55 m²,Друго,2 кат  ,Во Зграда,Реновиран,Наместен,Да,2020,2020,1 Тераса,1,Не,Нема,Југозапад,Бул. Крсте Мисирков 13/14
127,120.000€,4,101 m²,Централно,3 кат  ,Во Зграда,Стар,Полу наместен,Да,NaN,NaN,1 Балкон,1,Да,2 Паркинг места,Југоисток,Bitpazar
128,1.500МКД,3,60 m²,Централно,Приземје,Во Зграда,Нов,Наместен,Да,2021,NaN,1 Балкон,1,Да,3 Паркинг места,Исток,NaN
129,1.600€,2,42 m²,Централно,10 кат  ,Во Зграда,Нов,Празен,Да,2017,2017,1 Балкон,1,Не,1 Паркинг,Југозапад,Pandil Siskov
130,650€,4,125 m²,Централно,1 кат  ,Во Зграда,Реновиран,Празен,Да,NaN,NaN,2 Балкони,Повеќе од 2,Не,1 Паркинг,Југоисток,NaN
131,360€,2,56 m²,Друго,1 кат  ,Во Зграда,Реновиран,Наместен,Не,1975,2012,1 Балкон,1,Не,1 Паркинг,Запад,Sv. Kiril i Metodij
132,80€,2,50 m²,Струја,1 кат  ,Во Зграда,Нов,Наместен,Не,2019,NaN,2 Балкони,1,Не,1 Паркинг,Север,NaN
133,300€,2,54 m²,Струја,1 кат  ,Во Зграда,Нов,Полу наместен,Да,2017,2017,1 Балкон,1,Не,1 Паркинг,Исток,Златко Шнајдер 6а
134,70€,2,45 m²,Струја,1 кат  ,Во куќа,Стар,Наместен,Не,2019,2020,3 Балкони,1,Не,1 Паркинг,Северозапад,Nea Potidea Halkidiki 
135,250€,1,26 m²,Струја,5 кат  ,Во Зграда,Нов,Наместен,Да,2021,NaN,Нема,1,Не,1 Паркинг,Исток,"ul. Georgji Dimitrov, Skopje"
136,350€,4,100 m²,Централно,4 кат  ,Во Зграда,Реновиран,Наместен,Да,2005,2022,Тераса + 1 Балкон,2,Не,Нема,Североисток,Bul.jane sandanski br.59/2-16
137,500€,3,60 m²,Струја,2 кат  ,Во Зграда,Нов,Наместен,Да,2023,NaN,1 Балкон,1,Не,Повеќе од 3 паркинг места,Југ,КАРПОШ 
138,500€,"3,5",60 m²,Струја,2 кат  ,Во Зграда,Нов,Луксузен,Да,2023,NaN,1 Тераса,1,Не,Повеќе од 3 паркинг места,Југ,КАРПОШ
139,300€,3,62 m²,Централно,3 кат  ,Во Зграда,Нов,Празен,Да,2020,2020,1 Балкон,2,Не,1 Паркинг,Југозапад,ul.Metodija S.Sarlo
